booking_id,rating_text,country,rating_score,pickup_date,rating_date,number_of_passenger,vehicle,booking_departure,booking_destination
1826490,Nuestro conductor Hugo nos realizó un traslado fabuloso. Estaba puntual y nos llevó muy rápido,es,5,2024-01-03 16:00:00,2024-01-04 18:38:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1827098,,es,4,2024-01-03 16:00:00,2024-01-04 14:16:00,4,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1818957,,es,5,2024-01-03 15:30:00,2024-01-03 22:57:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1813567,,es,5,2024-01-03 15:05:00,2024-01-04 01:35:00,7,Furgoneta de 10 plazas,Aeropuerto JFK,Manhattan
1756206,,es,3,2024-01-03 15:00:00,2024-01-04 00:00:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1791853,Excelente motorista muito simpático educado e atencioso.,br,5,2024-01-03 15:00:00,2024-01-03 22:04:00,1,Turismo de 3 plazas,Brooklyn,Aeropuerto LaGuardia
1809079,Nos ha recogido un coche muy muy antiguo ha diferencia del de que nos recogio en nueva York al llegar un coche suv precioso y nuevo y este de ida era un suv de minimo 20 años pero bueno...,es,3,2024-01-03 15:00:00,2024-01-03 22:55:00,2,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1828762,,pt,5,2024-01-03 15:00:00,2024-01-03 22:06:00,14,Furgoneta de 14 plazas,Manhattan,Aeropuerto JFK
1709795,,es,5,2024-01-03 14:30:00,2024-01-04 08:35:00,6,Furgoneta de 10 plazas,Manhattan,Aeropuerto JFK
1816983,,fr,5,2024-01-03 13:45:00,2024-01-06 16:53:00,5,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto Newark
1820719,,it,5,2024-01-03 13:35:00,2024-01-04 04:40:00,6,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
