booking_id,address_lat,address_loc
T63989,40.7649849,-73.9811048
T64049,40.7621727,-73.9829659
T64060,40.68166,-73.834979
T64076,37.397555,-97.287627
T64553,40.91745,-73.804605
T64599,40.7825478,-73.981212
T64600,40.7825478,-73.981212
T64634,40.75990025,-73.98299749007901
T64635,40.75990025,-73.98299749007901
T64648,47.3246174,5.027575079243235
T64663,42.4740783,-73.7977248
T64664,42.4740783,-73.7977248
T64702,,
T64751,40.668269,-73.784682
T64939,40.75010515,-73.98381315073391
T64949,40.7560454,-73.9710272
T64950,40.7560454,-73.9710272
T65067,40.71966999636198,-73.99499634335244
T64914,40.75010515,-73.98381315073391
T65425,36.1119519,-96.1260529
T65516,,
T65525,40.4392677,-79.9958864
T65627,-32.5536604,148.9456764
T65782,40.7615295,-73.9849798
T66053,36.393622,-100.796793
T66102,39.069318,-94.584297
T66291,40.750352,-73.96894
T66341,,
T66735,40.7501301,-73.9909765
T66896,40.74645573469388,-73.99128612244897
T66991,40.749675100000005,-73.99052472856631
T67192,40.322903,-98.599492
T67238,40.751801,-73.947672
T67253,36.874863,-76.285406
T67275,40.751827500000005,-73.97925032352941
T67440,40.65587495,-73.94024431973537
T67497,40.7186237,-73.99254900130163
T67510,40.7501301,-73.9909765
T67629,40.76427685,-73.980319787345
T67630,40.76427685,-73.980319787345
T67703,40.827257,-73.948085
T67730,40.75443585714286,-73.9907585510204
T67843,40.74966524489796,-73.97205153061223
T67844,40.74966524489796,-73.97205153061223
T67997,39.3231862,-76.62315497000586
T68084,40.75637695918368,-73.99196181632654
T68474,40.74543,-73.987476
T68516,40.7369702,-73.98029096527355
T68575,36.1331926,-98.5514368
T68895,40.75523515,-73.93672115124389
T68896,40.75523515,-73.93672115124389
T68982,40.75925,-73.98501
T69051,40.75191873469388,-73.9946634489796
T69052,40.75191873469388,-73.9946634489796
T69037,40.756398,-73.98803112244897
T69038,40.756398,-73.98803112244897
T69241,,
T69242,,
T69435,40.797932,-73.96992
T69436,40.797932,-73.96992
T69556,40.7497903,-73.98108635483756
T69557,40.7497903,-73.98108635483756
T69671,31.617450705590745,-96.28069926241535
T69672,31.617450705590745,-96.28069926241535
T70055,40.7621059,-73.9827546
T70056,40.7621059,-73.9827546
T70095,40.712147,-73.957331
T70117,43.408777,-74.871618
T70163,40.7501301,-73.9909765
T70225,43.24134425384615,-79.90918153076923
T70226,43.24134425384615,-79.90918153076923
T69294,35.419904,-97.50878
T70361,,
T70431,37.8978575,-98.7466551
T70432,37.8978575,-98.7466551
T70553,40.777048,-73.967596
T70608,40.7646529,-73.9774764
T70813,40.68212025,-73.93583070605712
T70891,52.399965550000005,16.97210716416165
T70916,52.47672455,-1.8981792795944008
T70917,52.47672455,-1.8981792795944008
T70974,36.0856021,-95.9823275
T70992,,
T71100,,
T71101,,
T71515,40.7483347,-73.9944819
T71827,27.834753,-82.781406
T72056,40.74981,-73.986018
T72116,40.7829154,-73.9475614
T72157,40.72177845,-73.99432091632335
T72158,40.72177845,-73.99432091632335
T72198,40.721247000000005,-74.004325
T72232,36.758788,-98.361527
T72317,40.7546432,-73.9721078
T72494,40.7574216,-73.9698224
T72522,40.749675100000005,-73.99052472856631
T72523,40.749675100000005,-73.99052472856631
T72531,40.7656207,-73.98301340242708
T72532,40.7656207,-73.98301340242708
T72648,40.76418351020408,-73.97918610204081
T72726,40.7499227,-73.9811684
T72819,40.7458947,-73.9257857
T72882,57.14965,-2.08809
T72936,40.756894918367344,-73.98085814285714
T72939,,
T72948,40.762759,-73.983591
T73214,25.86921845,-80.28740812470986
T73258,40.76117705,-73.99171055753425
T73299,40.722183,-74.003551
T73366,40.7501301,-73.9909765
T73381,40.758602,-73.988669
T73415,40.771501,-73.982675
T73465,40.735314,-74.164493
T73561,40.75284,-73.985799
T73562,40.75284,-73.985799
T73603,32.8898549,-96.76822410599078
T73631,40.759913777777776,-73.99593188888889
T73871,36.659486,-98.5649518
T74016,40.757276653061226,-73.98368742857143
T74017,40.757276653061226,-73.98368742857143
T74144,40.747450040816325,-73.98597634693877
T74148,40.7499227,-73.9811684
T74149,40.7499227,-73.9811684
T74222,40.71637515,-73.96219689955956
T74223,40.71637515,-73.96219689955956
T74288,40.749675100000005,-73.99052472856631
T74386,40.7651005,-73.975248
T74425,40.7639937826087,-73.9942647826087
T74426,40.7639937826087,-73.9942647826087
T74497,37.959386,-98.603431
T74498,37.959386,-98.603431
T74525,40.75853493333334,-73.99502533333333
T74613,48.6966789,6.178973439163985
T74614,48.6966789,6.178973439163985
T74643,40.758602,-73.988669
T74721,40.756899,-73.9738763
T74723,32.348624,-97.36232052059124
